CONTROL POINT SET SIZES					
Max Value of i (m)	Max Value of j (n)				
3	3				
					
ORDERS					
Order (k)	Order (l)				
3	3				
					
CONTROL POINTS AND WEIGHTS					
i	j	CP X	CP Y	CP Z	Weight
0	0	1	1	1	5
0	1	166.6	1	166.6	5
0	2	333.3	1	333.3	5
0	3	499	1	499	5
1	0	1	166.6	166.6	5
1	1	166.6	166.6	166.6	5
1	2	333.3	166.6	333.3	5
1	3	499	166.6	333.3	5
2	0	1	333.3	333.3	5
2	1	166.6	333.3	333.3	5
2	2	333.3	333.3	166.6	5
2	3	499	333.3	166.6	5
3	0	1	499	1	5
3	1	166.6	499	166.6	5
3	2	333.3	499	333.3	5
3	3	499	499	499	5
					
KNOT VECTORS					
Knot Vector (u)					
0					
1					
2					
3					
4					
5					
6					
Knot Vector (v)					
0					
1					
2					
3					
4					
5					
6					
					
RENDERING RESOLUTION					
50					
