CONTROL POINT SET SIZES					
Max Value of i (m)	Max Value of j (n)				
4	4				
					
ORDERS					
Order (k)	Order (l)				
4	4				
					
CONTROL POINTS AND WEIGHTS					
i	j	CP X	CP Y	CP Z	Weight
0	0	1	1	1	5
0	1	125	1	1	5
0	2	250	1	1	5
0	3	375	1	1	5
0	4	499	1	1	5
1	0	1	125	1	5
1	1	125	125	400	20
1	2	250	125	400	20
1	3	375	125	400	20
1	4	499	125	1	5
2	0	1	250	1	5
2	1	125	250	400	20
2	2	250	250	200	40
2	3	375	250	400	20
2	4	499	250	1	5
3	0	1	375	1	5
3	1	125	375	400	20
3	2	250	375	400	20
3	3	375	375	400	20
3	4	499	375	1	5
4	0	1	499	1	5
4	1	125	499	1	5
4	2	250	499	1	5
4	3	375	499	1	5
4	4	499	499	1	5
					
KNOT VECTORS					
Knot Vector (u)					
0					
1					
2					
3					
4					
5					
6					
7					
8					
Knot Vector (v)					
0					
1					
2					
3					
4					
5					
6					
7					
8					
					
RENDERING RESOLUTION					
50					
